product_id,product_name,product_type,risk_level,expected_return,volatility,min_invest,duration_days,liquidity,launch_date
P001,混合001号,混合,R3,0.055,0.0801,50000,730,封闭,2023-04-12
P002,固定期限002号,固定期限,R5,0.1135,0.2158,1000,366,T+0,2024-07-02
P003,固定期限003号,固定期限,R3,0.0455,0.0691,50000,730,封闭,2025-04-12
P004,现金管理004号,现金管理,R5,0.086,0.2344,1000,0,封闭,2023-02-13
P005,现金管理005号,现金管理,R5,0.1097,0.248,100000,0,T+0,2024-01-20
P006,混合006号,混合,R3,0.0513,0.0739,50000,0,T+1,2024-02-06
P007,定开007号,定开,R3,0.0462,0.0735,50000,730,封闭,2024-01-10
P008,定开008号,定开,R3,0.0505,0.0741,10000,366,封闭,2025-02-13
P009,现金管理009号,现金管理,R2,0.0401,0.0316,50000,730,T+0,2023-03-04
P010,现金管理010号,现金管理,R1,0.0283,0.0101,50000,366,T+0,2024-12-10
P011,固定期限011号,固定期限,R2,0.033,0.0301,10000,90,T+0,2023-01-14
P012,混合012号,混合,R2,0.037,0.0298,10000,90,T+1,2025-05-10
P013,定开013号,定开,R2,0.0351,0.0324,10000,0,T+0,2025-05-31
P014,混合014号,混合,R1,0.0234,0.0099,10000,90,T+1,2024-11-03
P015,固定期限015号,固定期限,R4,0.067,0.1159,50000,366,封闭,2025-01-25
P016,现金管理016号,现金管理,R2,0.0311,0.0299,100000,180,T+0,2023-05-26
P017,现金管理017号,现金管理,R3,0.0429,0.0729,1000,180,T+1,2023-05-16
P018,现金管理018号,现金管理,R2,0.0365,0.0306,10000,730,T+0,2023-07-01
P019,定开019号,定开,R2,0.0326,0.0311,1000,0,T+0,2023-11-09
P020,现金管理020号,现金管理,R2,0.0359,0.0289,10000,366,T+1,2023-11-08
P021,混合021号,混合,R3,0.0538,0.0632,100000,730,封闭,2023-05-29
P022,定开022号,定开,R2,0.0298,0.032,10000,730,T+1,2023-04-14
P023,固定期限023号,固定期限,R5,0.0983,0.1895,1000,0,T+1,2025-01-05
P024,定开024号,定开,R3,0.0466,0.0648,1000,90,T+1,2024-09-15
P025,定开025号,定开,R3,0.0517,0.0791,1000,366,T+0,2025-01-07
P026,混合026号,混合,R2,0.0313,0.0288,1000,180,T+1,2023-11-19
P027,现金管理027号,现金管理,R4,0.0766,0.1235,100000,366,T+1,2025-02-06
P028,定开028号,定开,R2,0.0359,0.0266,100000,366,T+1,2023-06-26
P029,固定期限029号,固定期限,R4,0.0781,0.1203,10000,0,封闭,2024-11-17
P030,固定期限030号,固定期限,R2,0.0308,0.0286,1000,730,T+0,2023-08-01
