customer_id,rank,product_id,recommended_channel,recommended_time,marketing_script
C000010,1,P026,app_push,工作日09:00-12:00,专属推荐：混合026号（R2·混合），业绩比较基准3.1%，180天，1000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000010,2,P019,app_push,工作日12:00-14:00,专属推荐：定开019号（R2·定开），业绩比较基准3.3%，灵活存续，1000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
C000010,3,P030,app_push,周末09:00-12:00,专属推荐：固定期限030号（R2·固定期限），业绩比较基准3.1%，730天，1000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
C000012,1,P014,app_push,工作日09:00-12:00,专属推荐：混合014号（R1·混合），业绩比较基准2.3%，90天，10000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000012,2,P012,app_push,工作日18:00-21:00,专属推荐：混合012号（R2·混合），业绩比较基准3.7%，90天，10000元起投，T+1 次日赎回。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000012,3,P013,app_push,周末14:00-18:00,专属推荐：定开013号（R2·定开），业绩比较基准3.5%，灵活存续，10000元起投，T+0 随时赎回。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000013,1,P019,app_push,工作日09:00-12:00,专属推荐：定开019号（R2·定开），业绩比较基准3.3%，灵活存续，1000元起投，T+0 随时赎回。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000013,2,P013,app_push,工作日12:00-14:00,专属推荐：定开013号（R2·定开），业绩比较基准3.5%，灵活存续，10000元起投，T+0 随时赎回。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000013,3,P022,app_push,周末09:00-12:00,专属推荐：定开022号（R2·定开），业绩比较基准3.0%，730天，10000元起投，T+1 次日赎回。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000014,1,P002,app_push,工作日09:00-12:00,专属推荐：固定期限002号（R5·固定期限），业绩比较基准11.3%，366天，1000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
C000014,2,P023,app_push,工作日12:00-14:00,专属推荐：固定期限023号（R5·固定期限），业绩比较基准9.8%，灵活存续，1000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000014,3,P004,app_push,周末09:00-12:00,专属推荐：现金管理004号（R5·现金管理），业绩比较基准8.6%，灵活存续，1000元起投，封闭运作。理财非存款，产品有风险，投资须谨慎。
C000019,1,P012,app_push,工作日09:00-12:00,专属推荐：混合012号（R2·混合），业绩比较基准3.7%，90天，10000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000019,2,P014,app_push,工作日12:00-14:00,专属推荐：混合014号（R1·混合），业绩比较基准2.3%，90天，10000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000019,3,P026,app_push,工作日18:00-21:00,专属推荐：混合026号（R2·混合），业绩比较基准3.1%，180天，1000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000025,1,P004,call,工作日12:00-14:00,您好，我是您的专属理财顾问，为您介绍：现金管理004号（R5·现金管理），业绩比较基准8.6%，灵活存续，1000元起投，封闭运作。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000025,2,P017,call,工作日18:00-21:00,您好，我是您的专属理财顾问，为您介绍：现金管理017号（R3·现金管理），业绩比较基准4.3%，180天，1000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000025,3,P002,call,周末14:00-18:00,您好，我是您的专属理财顾问，为您介绍：固定期限002号（R5·固定期限），业绩比较基准11.3%，366天，1000元起投，T+0 随时赎回。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000026,1,P014,app_push,工作日09:00-12:00,专属推荐：混合014号（R1·混合），业绩比较基准2.3%，90天，10000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000026,2,P012,app_push,工作日12:00-14:00,专属推荐：混合012号（R2·混合），业绩比较基准3.7%，90天，10000元起投，T+1 次日赎回。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000026,3,P019,app_push,周末09:00-12:00,专属推荐：定开019号（R2·定开），业绩比较基准3.3%，灵活存续，1000元起投，T+0 随时赎回。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000031,1,P030,app_push,工作日18:00-21:00,专属推荐：固定期限030号（R2·固定期限），业绩比较基准3.1%，730天，1000元起投，T+0 随时赎回。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000031,2,P011,app_push,周末09:00-12:00,专属推荐：固定期限011号（R2·固定期限），业绩比较基准3.3%，90天，10000元起投，T+0 随时赎回。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000031,3,P018,app_push,周末14:00-18:00,专属推荐：现金管理018号（R2·现金管理），业绩比较基准3.6%，730天，10000元起投，T+0 随时赎回。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000033,1,P002,app_push,工作日12:00-14:00,专属推荐：固定期限002号（R5·固定期限），业绩比较基准11.3%，366天，1000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
C000033,2,P023,app_push,工作日18:00-21:00,专属推荐：固定期限023号（R5·固定期限），业绩比较基准9.8%，灵活存续，1000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000033,3,P004,app_push,周末14:00-18:00,专属推荐：现金管理004号（R5·现金管理），业绩比较基准8.6%，灵活存续，1000元起投，封闭运作。理财非存款，产品有风险，投资须谨慎。
C000034,1,P026,app_push,工作日12:00-14:00,专属推荐：混合026号（R2·混合），业绩比较基准3.1%，180天，1000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000034,2,P013,app_push,周末14:00-18:00,专属推荐：定开013号（R2·定开），业绩比较基准3.5%，灵活存续，10000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
C000034,3,P012,app_push,工作日18:00-21:00,专属推荐：混合012号（R2·混合），业绩比较基准3.7%，90天，10000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
